Years,January,February,March,April,May,June,July,August,September,October,November,December
2020,219,128,0,0,0,0,0,0,0,0,0,0
2019,157,124,135,97,114,99,124,159,151,172,148,160
2018,132,113,96,109,91,90,94,154,148,149,147,129
2017,128,72,101,91,80,95,102,96,101,105,94,95
2016,131,87,101,108,100,97,92,109,119,99,106,99
2015,110,94,95,97,90,102,128,107,104,94,86,114
2014,131,112,123,94,98,103,105,119,124,122,103,107
2013,113,110,86,94,104,94,128,113,107,104,94,99
2012,123,104,94,90,99,99,83,104,95,108,112,103
2011,96,92,99,103,103,113,104,104,108,91,82,83
2010,89,132,119,101,125,107,88,95,111,81,79,107
2009,113,82,114,78,115,105,126,101,105,89,94,105
2008,134,114,123,112,115,126,124,144,140,125,104,123
2007,114,127,103,126,144,105,88,124,112,96,132,85
